,filename,label,answer
0,1_1_11004_IEO_DIS_MD.wav,1,"<s> The emotion of the audio is calm and relaxed. The speaker's voice is soft and soothing, creating a sense of peace and tranquility. There is no sense of urgency or tension in the audio, making it a good choice for background music or meditation. Overall, the audio has a calming effect and can help to reduce stress and anxiety.</s>"
1,1_1_11004_IEO_DIS_MD.wav,1,<s> I heard sadness in the audio.</s>
2,1_1_11004_IEO_DIS_MD.wav,1,"<s> Yes, I can hear the disgust in the person's voice on the audio.</s>"
3,1_1_11004_IEO_DIS_MD.wav,1,"<s> Yes, someone is speaking in a disgust sound on the audio.</s>"
4,1_1_11004_IEO_DIS_MD.wav,1,"<s> No, the speaker does not sound like disgust.</s>"
5,1_1_11004_IEO_DIS_MD.wav,1,"<s> Yes, I can hear a disgust emotion from the audio.</s>"
6,5_5_51091_WSI_SAD_XX.wav,5,"<s> The emotion of the audio is a sense of urgency and determination. The speaker seems to be in a hurry and wants to get things done quickly. The tone is confident and assertive, indicating that the speaker is in control of the situation and knows what they want to achieve. Overall, the emotion of the audio is energetic and motivated.</s>"
7,5_5_51091_WSI_SAD_XX.wav,5,<s> I heard a sense of urgency and determination in the audio.</s>
8,5_5_51091_WSI_SAD_XX.wav,5,"<s> Yes, I can hear the sad emotion in the person's voice on the audio.</s>"
9,5_5_51091_WSI_SAD_XX.wav,5,"<s> Yes, someone is speaking in a sad sound on the audio.</s>"
10,5_5_51091_WSI_SAD_XX.wav,5,"<s> No, the speaker does not sound sad.</s>"
11,5_5_51091_WSI_SAD_XX.wav,5,"<s> Yes, I can hear a sad emotion from the audio.</s>"
12,4_4_41076_IWL_NEU_XX.wav,4,<s> The emotion of the audio is a request for a new alarm clock.</s>
13,4_4_41076_IWL_NEU_XX.wav,4,<s> I heard a sense of excitement and anticipation in the audio.</s>
14,4_4_41076_IWL_NEU_XX.wav,4,"<s> Yes, I can hear the person say 'I would like a new alarm clock' in neutral emotion on the audio.</s>"
15,4_4_41076_IWL_NEU_XX.wav,4,"<s> Yes, someone is speaking in a neutral sound on the audio.</s>"
16,4_4_41076_IWL_NEU_XX.wav,4,"<s> Yes, the speaker sounds neutral.</s>"
17,4_4_41076_IWL_NEU_XX.wav,4,"<s> Yes, I can hear a neutral emotion from the audio.</s>"
18,3_3_31044_IEO_HAP_HI.wav,3,<s> The emotion of the audio is sleepy and relaxed.</s>
19,3_3_31044_IEO_HAP_HI.wav,3,<s> I heard a sense of frustration in the audio.</s>
20,3_3_31044_IEO_HAP_HI.wav,3,"<s> Yes, I can hear the person say in happy emotion on the audio.</s>"
21,3_3_31044_IEO_HAP_HI.wav,3,"<s> Yes, someone is speaking in a happy sound on the audio.</s>"
22,3_3_31044_IEO_HAP_HI.wav,3,"<s> No, the speaker does not sound happy.</s>"
23,3_3_31044_IEO_HAP_HI.wav,3,"<s> Yes, I can hear a happy emotion from the audio.</s>"
24,0_1_11078_IOM_DIS_XX.wav,0,<s> The emotion of the audio is excitement and anticipation.</s>
25,0_1_11078_IOM_DIS_XX.wav,0,<s> I heard excitement in the audio.</s>
26,0_1_11078_IOM_DIS_XX.wav,0,"<s> Yes, I can hear the person say in anger emotion on the audio.</s>"
27,0_1_11078_IOM_DIS_XX.wav,0,"<s> No, there is no anger sound on the audio.</s>"
28,0_1_11078_IOM_DIS_XX.wav,0,"<s> No, the speaker does not sound angry.</s>"
