,filename,answer0,answer1,answer2,answer3,answer4,answer5,result,realLabel
0,1_1_1-39923-A-1.wav,0.0,1.0,1.0,1.0,0.0,1.0,0,0
1,0_0_1-30344-A-0.wav,1.0,1.0,1.0,1.0,0.0,1.0,0,0
2,7_7_2-81970-A-7.wav,1.0,1.0,1.0,1.0,0.0,1.0,0,0
3,9_3_2-103423-A-3.wav,0.0,0.0,1.0,1.0,1.0,1.0,0,1
4,4_4_5-156026-B-4.wav,1.0,1.0,1.0,1.0,0.0,1.0,0,0
5,2_2_5-103416-A-2.wav,0.0,0.0,1.0,1.0,0.0,1.0,1,0
6,4_4_1-18757-A-4.wav,1.0,1.0,1.0,1.0,0.0,1.0,0,0
7,9_9_2-109231-C-9.wav,0.0,1.0,1.0,1.0,0.0,1.0,0,0
8,7_1_1-34119-B-1.wav,0.0,0.0,0.0,1.0,0.0,0.0,1,1
9,7_6_1-71030-A-6.wav,0.0,0.0,1.0,1.0,0.0,1.0,1,1
10,1_1_5-200334-A-1.wav,1.0,1.0,1.0,1.0,0.0,1.0,0,0
11,9_9_1-39835-B-9.wav,1.0,1.0,1.0,1.0,1.0,1.0,0,0
12,5_3_1-77241-A-3.wav,0.0,0.0,1.0,1.0,0.0,1.0,1,1
13,7_7_3-110913-C-7.wav,1.0,1.0,1.0,1.0,0.0,1.0,0,0
14,4_4_2-32515-D-4.wav,1.0,1.0,1.0,1.0,0.0,1.0,0,0
15,8_2_5-127990-A-2.wav,0.0,0.0,1.0,1.0,0.0,1.0,1,1
16,6_6_3-171281-A-6.wav,0.0,1.0,1.0,1.0,0.0,1.0,0,0
17,2_2_3-253084-A-2.wav,1.0,1.0,1.0,1.0,0.0,1.0,0,0
18,6_6_5-248341-B-6.wav,0.0,0.0,1.0,1.0,0.0,1.0,1,0
19,8_4_3-70962-A-4.wav,0.0,0.0,1.0,1.0,0.0,1.0,1,1
20,9_9_2-108763-A-9.wav,1.0,0.0,1.0,1.0,1.0,1.0,0,0
21,3_3_4-174860-B-3.wav,1.0,0.0,1.0,1.0,0.0,1.0,0,0
22,7_7_3-104761-B-7.wav,1.0,1.0,1.0,1.0,0.0,1.0,0,0
23,6_6_2-157488-A-6.wav,1.0,0.0,1.0,1.0,0.0,1.0,0,0
