,filename,answer0,answer1,answer2,answer3,answer4,answer5,result,realLabel
0,7_6_yweweler_38.wav,0.0,0.0,0.0,1.0,1.0,0.0,1,1
1,5_5_nicolas_41.wav,1.0,0.0,1.0,1.0,1.0,1.0,0,0
2,4_4_george_14.wav,1.0,1.0,1.0,1.0,1.0,1.0,0,0
3,6_6_jackson_14.wav,0.0,0.0,1.0,1.0,1.0,1.0,0,0
4,3_2_yweweler_43.wav,1.0,0.0,1.0,1.0,1.0,1.0,0,1
5,2_1_theo_43.wav,0.0,0.0,1.0,1.0,1.0,1.0,0,1
6,9_9_nicolas_38.wav,1.0,1.0,1.0,1.0,1.0,1.0,0,0
7,7_6_yweweler_10.wav,0.0,0.0,0.0,1.0,1.0,1.0,1,1
8,1_0_jackson_45.wav,0.0,0.0,0.0,1.0,1.0,0.0,1,1
9,5_5_theo_41.wav,1.0,0.0,1.0,1.0,1.0,1.0,0,0
10,9_9_george_40.wav,0.0,0.0,1.0,1.0,1.0,1.0,0,0
11,2_1_jackson_10.wav,0.0,0.0,0.0,1.0,1.0,0.0,1,1
12,1_1_theo_32.wav,0.0,1.0,1.0,1.0,1.0,1.0,0,0
13,6_5_nicolas_29.wav,0.0,0.0,0.0,1.0,1.0,1.0,1,1
14,1_0_theo_32.wav,0.0,0.0,0.0,1.0,1.0,0.0,1,1
15,4_4_theo_28.wav,1.0,1.0,1.0,1.0,1.0,1.0,0,0
16,6_6_george_7.wav,1.0,1.0,1.0,1.0,1.0,1.0,0,0
17,9_9_jackson_19.wav,1.0,0.0,1.0,1.0,1.0,1.0,0,0
18,7_7_nicolas_48.wav,0.0,0.0,0.0,1.0,1.0,0.0,1,0
19,8_8_nicolas_31.wav,0.0,0.0,1.0,1.0,1.0,1.0,0,0
20,6_5_george_48.wav,0.0,0.0,0.0,1.0,1.0,0.0,1,1
21,1_0_yweweler_31.wav,1.0,0.0,0.0,1.0,1.0,0.0,1,1
22,2_1_george_17.wav,0.0,0.0,1.0,1.0,1.0,1.0,0,1
23,8_8_yweweler_12.wav,0.0,0.0,1.0,1.0,1.0,1.0,0,0
24,8_8_george_36.wav,0.0,0.0,1.0,1.0,1.0,1.0,0,0
25,1_0_jackson_47.wav,0.0,0.0,0.0,1.0,1.0,0.0,1,1
26,1_1_jackson_48.wav,1.0,1.0,1.0,1.0,1.0,1.0,0,0
27,9_9_george_5.wav,1.0,1.0,1.0,1.0,1.0,1.0,0,0
28,7_6_theo_37.wav,0.0,0.0,0.0,1.0,1.0,0.0,1,1
29,2_2_nicolas_33.wav,0.0,0.0,1.0,1.0,1.0,1.0,0,0
30,8_7_yweweler_46.wav,0.0,1.0,0.0,1.0,1.0,0.0,1,1
31,3_3_yweweler_34.wav,0.0,0.0,1.0,1.0,1.0,1.0,0,0
32,7_7_jackson_48.wav,0.0,0.0,0.0,1.0,1.0,1.0,1,0
33,5_4_yweweler_2.wav,0.0,0.0,1.0,1.0,1.0,1.0,0,1
34,7_6_jackson_3.wav,0.0,0.0,0.0,1.0,1.0,1.0,1,1
